Year,Géographie,Infractions,GeoCode,Value
2015,Nouveau-Brunswick,Voies de fait graves (niveau 3),,6.46
2016,Nouveau-Brunswick,Voies de fait graves (niveau 3),,6.94
2017,Nouveau-Brunswick,Voies de fait graves (niveau 3),,5.74
2018,Nouveau-Brunswick,Voies de fait graves (niveau 3),,9.09
2019,Nouveau-Brunswick,Voies de fait graves (niveau 3),,9.53
2020,Nouveau-Brunswick,Voies de fait graves (niveau 3),,9.09
2015,Nouveau-Brunswick,Voies de fait armées ou causant des lésions corporelles (niveau 2),,102.79
2016,Nouveau-Brunswick,Voies de fait armées ou causant des lésions corporelles (niveau 2),,121.44
2017,Nouveau-Brunswick,Voies de fait armées ou causant des lésions corporelles (niveau 2),,123.79
2018,Nouveau-Brunswick,Voies de fait armées ou causant des lésions corporelles (niveau 2),,129.82
2019,Nouveau-Brunswick,Voies de fait armées ou causant des lésions corporelles (niveau 2),,142.37
2020,Nouveau-Brunswick,Voies de fait armées ou causant des lésions corporelles (niveau 2),,152.02
2015,Nouveau-Brunswick,Voies de fait simples (niveau 1),,500.37
2016,Nouveau-Brunswick,Voies de fait simples (niveau 1),,496.89
2017,Nouveau-Brunswick,Voies de fait simples (niveau 1),,522.03
2018,Nouveau-Brunswick,Voies de fait simples (niveau 1),,561.86
2019,Nouveau-Brunswick,Voies de fait simples (niveau 1),,643.22
