Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Québec,Cuivre et aluminium,Toutes les sources des matières récupérées,24,6.284414011
2018,Québec,Cuivre et aluminium,Sources des matières résidentielles récupérées,24,
2018,Québec,Cuivre et aluminium,Sources des matières non résidentielles récupérées,24,6.284414011
2018,Québec,Métaux mélangés,Toutes les sources des matières récupérées,24,0.0
2018,Québec,Métaux mélangés,Sources des matières résidentielles récupérées,24,0.0
2018,Québec,Métaux mélangés,Sources des matières non résidentielles récupérées,24,0.0
2018,Québec,Électroménagers,Toutes les sources des matières récupérées,24,0.0
2018,Québec,Électroménagers,Sources des matières résidentielles récupérées,24,0.0
2018,Québec,Électroménagers,Sources des matières non résidentielles récupérées,24,0.0
2018,Québec,Matériel électronique,Toutes les sources des matières récupérées,24,2.545544743
2018,Québec,Matériel électronique,Sources des matières résidentielles récupérées,24,
2018,Québec,Matériel électronique,Sources des matières non résidentielles récupérées,24,
2018,Québec,Matières plastiques,Toutes les sources des matières récupérées,24,9.878908388
2018,Québec,Matières plastiques,Sources des matières résidentielles récupérées,24,7.022356565
2018,Québec,Matières plastiques,Sources des matières non résidentielles récupérées,24,2.856551823
2018,Québec,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,24,0.0
2018,Québec,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,24,0.0
2018,Québec,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,24,0.0
2018,Québec,Textiles,Toutes les sources des matières récupérées,24,6.598634711
2018,Québec,Textiles,Sources des matières résidentielles récupérées,24,6.598634711
2018,Québec,Textiles,Sources des matières non résidentielles récupérées,24,0.0
2018,Québec,Pneus,Toutes les sources des matières récupérées,24,10.93226187
2018,Québec,Pneus,Sources des matières résidentielles récupérées,24,
2018,Québec,Pneus,Sources des matières non résidentielles récupérées,24,
2018,Québec,"data.Construction, renovation and demolition",Toutes les sources des matières récupérées,24,35.11178282
2018,Québec,"data.Construction, renovation and demolition",Sources des matières résidentielles récupérées,24,0.0
2018,Québec,"data.Construction, renovation and demolition",Sources des matières non résidentielles récupérées,24,35.11178282
2018,Québec,Matières organiques,Toutes les sources des matières récupérées,24,52.13207077
2018,Québec,Matières organiques,Sources des matières résidentielles récupérées,24,46.06189815
2018,Québec,Matières organiques,Sources des matières non résidentielles récupérées,24,6.070172624
2018,Québec,Autres matières,Toutes les sources des matières récupérées,24,0.0
2018,Québec,Autres matières,Sources des matières résidentielles récupérées,24,0.0
2018,Québec,Autres matières,Sources des matières non résidentielles récupérées,24,0.0
2018,Ontario,Toutes les matières,Toutes les sources des matières récupérées,35,233.5106404
2018,Ontario,Toutes les matières,Sources des matières résidentielles récupérées,35,
2018,Ontario,Toutes les matières,Sources des matières non résidentielles récupérées,35,
2018,Ontario,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,35,92.16213049
2018,Ontario,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,35,40.66967104
2018,Ontario,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,35,51.49245945
2018,Ontario,Verre,Toutes les sources des matières récupérées,35,7.977316174
2018,Ontario,Verre,Sources des matières résidentielles récupérées,35,5.865383829
2018,Ontario,Verre,Sources des matières non résidentielles récupérées,35,2.111932344
2018,Ontario,Métaux ferreux,Toutes les sources des matières récupérées,35,8.083125948
2018,Ontario,Métaux ferreux,Sources des matières résidentielles récupérées,35,2.694025878
2018,Ontario,Métaux ferreux,Sources des matières non résidentielles récupérées,35,5.38910007
2018,Ontario,Cuivre et aluminium,Toutes les sources des matières récupérées,35,1.543956099
2018,Ontario,Cuivre et aluminium,Sources des matières résidentielles récupérées,35,0.828097765
2018,Ontario,Cuivre et aluminium,Sources des matières non résidentielles récupérées,35,0.715858334
2018,Ontario,Métaux mélangés,Toutes les sources des matières récupérées,35,2.753080871
2018,Ontario,Métaux mélangés,Sources des matières résidentielles récupérées,35,1.029304066
2018,Ontario,Métaux mélangés,Sources des matières non résidentielles récupérées,35,1.723776805
2018,Ontario,Électroménagers,Toutes les sources des matières récupérées,35,0.797417123
2018,Ontario,Électroménagers,Sources des matières résidentielles récupérées,35,0.70278936
2018,Ontario,Électroménagers,Sources des matières non résidentielles récupérées,35,0.094627764
2018,Ontario,Matériel électronique,Toutes les sources des matières récupérées,35,3.212521727
2018,Ontario,Matériel électronique,Sources des matières résidentielles récupérées,35,
2018,Ontario,Matériel électronique,Sources des matières non résidentielles récupérées,35,
2018,Ontario,Matières plastiques,Toutes les sources des matières récupérées,35,8.779206101
2018,Ontario,Matières plastiques,Sources des matières résidentielles récupérées,35,6.874490389
2018,Ontario,Matières plastiques,Sources des matières non résidentielles récupérées,35,1.904715712
2018,Ontario,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,35,0.628498877
2018,Ontario,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,35,0.513394057
2018,Ontario,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,35,0.115104821
2018,Ontario,Textiles,Toutes les sources des matières récupérées,35,0.084773617
2018,Ontario,Textiles,Sources des matières résidentielles récupérées,35,0.084284404
2018,Ontario,Textiles,Sources des matières non résidentielles récupérées,35,0.000489213
2018,Ontario,Pneus,Toutes les sources des matières récupérées,35,14.72558962
2018,Ontario,Pneus,Sources des matières résidentielles récupérées,35,
2018,Ontario,Pneus,Sources des matières non résidentielles récupérées,35,
2018,Ontario,"data.Construction, renovation and demolition",Toutes les sources des matières récupérées,35,10.92426515
2018,Ontario,"data.Construction, renovation and demolition",Sources des matières résidentielles récupérées,35,3.765052821
2018,Ontario,"data.Construction, renovation and demolition",Sources des matières non résidentielles récupérées,35,7.159212331
2018,Ontario,Matières organiques,Toutes les sources des matières récupérées,35,80.03307359
2018,Ontario,Matières organiques,Sources des matières résidentielles récupérées,35,73.59887487
