Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2025,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,264
2025,Saskatchewan,Électrique,47,189
2019,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,4
2019,Yukon,Électrique,60,2
2019,Yukon,Propane,60,2
2020,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,7
2020,Yukon,Électrique,60,5
2022,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,15
2022,Yukon,Électrique,60,13
2023,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,36
2023,Yukon,Électrique,60,34
2024,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,40
2024,Yukon,Électrique,60,38
2025,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,46
2025,Yukon,Électrique,60,44
